_id,actorLink,actorName,actors,characterImageFull,characterImageThumb,characterLink,characterName,guardedBy,houseName,killed,killedBy,kingsguard,marriedEngaged,nickname,parentOf,parents,royal,servedBy,serves,siblings
61997c2bdee7e981f7970f3c,/name/nm1783582/,Sahara Knite,,https://images-na.ssl-images-amazon.com/images/M/MV5BZmQyMGVlMDctYWFhMi00YzMyLTlkZDgtOWNmZTY3NmZkYzZlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BZmQyMGVlMDctYWFhMi00YzMyLTlkZDgtOWNmZTY3NmZkYzZlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,/character/ch0305014/,Armeca,,,,,,,,,,,,,
61997c2bdee7e981f7970f3d,/name/nm8127149/,Nathanael Saleh,,,,/character/ch0305326/,Arthur,,,,,,,,,,,,,
61997c2bdee7e981f7970f3e,/name/nm1074361/,Luke Roberts,,https://images-na.ssl-images-amazon.com/images/M/MV5BODczZDUxYmQtMzk1MC00ZTUwLTk1MjAtZDJlODViMWFhOGU5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BODczZDUxYmQtMzk1MC00ZTUwLTk1MjAtZDJlODViMWFhOGU5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,/character/ch0540097/,Arthur Dayne,,,,"[""Howland Reed"",""Eddard Stark""]",true,,,,,,,"[""Aerys II Targaryen""]",
61997c2bdee7e981f7970f3f,/name/nm3586035/,Maisie Williams,,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5MTYwNDc0OF5BMl5BanBnXkFtZTcwOTg2NDg1Nw@@._V1_SY1000_CR0,0,665,1000_AL_.jpg",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5MTYwNDc0OF5BMl5BanBnXkFtZTcwOTg2NDg1Nw@@._V1._SX100_SY140_.jpg,/character/ch0158604/,Arya Stark,"[""Nymeria""]",Stark,"[""Red Keep Stableboy"",""Frey Soldier #1"",""Polliver"",""Rorge"",""Ghita"",""Meryn Trant"",""The Waif"",""Black Walder Rivers"",""Lothar Frey"",""Walder Frey"",""Petyr Baelish"",""The Night King"",""White Walker"",""Viserion""]",,,,,,"[""Eddard Stark"",""Catelyn Stark""]",,,,"[""Robb Stark"",""Sansa Stark"",""Bran Stark"",""Rickon Stark""]"
61997c2bdee7e981f7970f40,,,"[{""actorName"":""William Wilson"",""actorLink"":""/name/nm8251159/"",""seasonsActive"":[7]},{""actorName"":""James Wilson"",""actorLink"":""/name/nm8251160/"",""seasonsActive"":[7]}]",,,/character/ch0547881/,Baby Sam,,,,,,,,,"[""Samwell Tarly"",""Gilly""]",,,,
61997c2bdee7e981f7970f41,/name/nm0538869/,Patrick Malahide,,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNjkwODczN15BMl5BanBnXkFtZTcwODMwNTgzNw@@._V1_SY1000_CR0,0,637,1000_AL_.jpg",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNjkwODczN15BMl5BanBnXkFtZTcwODMwNTgzNw@@._V1._SX100_SY140_.jpg,/character/ch0292152/,Balon Greyjoy,,Greyjoy,,"[""Euron Greyjoy""]",,,,"[""Yara Greyjoy"",""Theon Greyjoy""]",,,,,"[""Euron Greyjoy"",""Aeron Greyjoy""]"
61997c2bdee7e981f7970f42,/name/nm4207240/,Phil Barnhill,,,,/character/ch0350989/,Baratheon Guard,,Baratheon,,,,,,,,,,,
61997c2bdee7e981f7970f43,/name/nm0568400/,Ian McElhinney,,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyMTE0NjUxNV5BMl5BanBnXkFtZTcwOTA1ODg5NA@@._V1_SX1500_CR0,0,1500,999_AL_.jpg",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyMTE0NjUxNV5BMl5BanBnXkFtZTcwOTA1ODg5NA@@._V1._SX100_SY140_.jpg,/character/ch0241346/,Barristan Selmy,,,,"[""Sons of the Harpy""]",,,,,,,,"[""Daenerys Targaryen""]",
61997c2bdee7e981f7970f44,/name/nm1152798/,Joseph Mawle,,https://images-na.ssl-images-amazon.com/images/M/MV5BMjFiY2M5MjgtZmRiMS00ZTAyLTk2Y2UtMjdjZTRkZmVlYTMyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMjFiY2M5MjgtZmRiMS00ZTAyLTk2Y2UtMjdjZTRkZmVlYTMyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,/character/ch0153996/,Benjen Stark,,Stark,,"[""Wights""]",,,,,"[""Rickard Stark""]",,,,"[""Brandon Stark"",""Lyanna Stark"",""Eddard Stark""]"
61997c2bdee7e981f7970f45,,,"[{""actorName"":""Richard Dormer"",""actorLink"":""/name/nm0233807/"",""seasonsActive"":[3,6,7,8]},{""actorName"":""David Michael Scott"",""actorLink"":""/name/nm2364108/"",""seasonsActive"":[1]}]","https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwMTEwNTg2MF5BMl5BanBnXkFtZTgwNTAxODYxOTE@._V1_SY1000_CR0,0,665,1000_AL_.jpg",https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwMTEwNTg2MF5BMl5BanBnXkFtZTgwNTAxODYxOTE@._V1._SX100_SY140_.jpg,/character/ch0305320/,Beric Dondarrion,,,,"[""Sandor Clegane"",""Wights""]",,,,,,,,,
61997c2bdee7e981f7970f46,/name/nm4730958/,Eline Powell,,https://images-na.ssl-images-amazon.com/images/M/MV5BYWJhYjcxYzgtMDlhZi00OGNhLWE0NzAtMWFhMDJlYTZmYzY2XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BYWJhYjcxYzgtMDlhZi00OGNhLWE0NzAtMWFhMDJlYTZmYzY2XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,/character/ch0541364/,Bianca,,,,,,,,,,,,,
61997c2bdee7e981f7970f47,/name/nm0429956/,Gerard Jordan,,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ1ZWY3NTYtNmYzZS00ZDQyLThhMDItYTQyNmU0ZDg5NWViL2ltYWdlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ1ZWY3NTYtNmYzZS00ZDQyLThhMDItYTQyNmU0ZDg5NWViL2ltYWdlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_SY100_SX100_AL_.jpg,/character/ch0305028/,Biter,,,,"[""Sandor Clegane""]",,,,,,,,,
61997c2bdee7e981f7970f48,/name/nm1978998/,Forbes KB,,https://images-na.ssl-images-amazon.com/images/M/MV5BNjg5ZGZjZDUtZmJmNC00MjQ5LWJhZDAtOTc0MzYzNTNkMTZiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNjg5ZGZjZDUtZmJmNC00MjQ5LWJhZDAtOTc0MzYzNTNkMTZiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,/character/ch0266524/,Black Lorren,,,,,,,,,,,,,
61997c2bdee7e981f7970f49,/name/nm1043031/,Tim Plester,,,,/character/ch0014591/,Black Walder Rivers,,Frey,"[""Catelyn Stark""]","[""Arya Stark""]",,,,,"[""Walder Frey""]",,,,
61997c2bdee7e981f7970f4a,/name/nm5279916/,Leigh Gill,,https://images-na.ssl-images-amazon.com/images/M/MV5BZWRmNWVhNTctOGJlZC00ZjVlLThkY2MtODU3Y2I2Njc1YzZjL2ltYWdlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BZWRmNWVhNTctOGJlZC00ZjVlLThkY2MtODU3Y2I2Njc1YzZjL2ltYWdlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,/character/ch0541790/,Bobono,,,,,,,,,,,,,
61997c2bdee7e981f7970f4b,/name/nm1638006/,Michael Condron,,https://images-na.ssl-images-amazon.com/images/M/MV5BNmRkMDYxYjQtYTBjZi00NDZlLThmNGMtYzlhNGI1ZDE5NTJmXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNmRkMDYxYjQtYTBjZi00NDZlLThmNGMtYzlhNGI1ZDE5NTJmXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,/character/ch0305036/,Bowen Marsh,,,"[""Jon Snow""]","[""Jon Snow""]",,,,,,,,,
61997c2bdee7e981f7970f4c,,,,,,,Brandon Stark,,Stark,,"[""Aerys II Targaryen""]",,,,,"[""Rickard Stark""]",,,,"[""Lyanna Stark"",""Benjen Stark"",""Eddard Stark""]"
61997c2bdee7e981f7970f4d,/name/nm3652842/,Isaac Hempstead Wright,,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1NTg0NTI3MTBeQTJeQWpwZ15BbWU3MDEyNjg4OTQ@._V1_SX1500_CR0,0,1500,999_AL_.jpg",https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1NTg0NTI3MTBeQTJeQWpwZ15BbWU3MDEyNjg4OTQ@._V1._SX100_SY140_.jpg,/character/ch0234897/,Bran Stark,"[""Summer""]",Stark,,,,,,,"[""Eddard Stark"",""Catelyn Stark""]",true,,,"[""Robb Stark"",""Sansa Stark"",""Arya Stark"",""Rickon Stark""]"
61997c2bdee7e981f7970f4e,/name/nm5106314/,Gemita Samarra,,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMzc4MjE3N15BMl5BanBnXkFtZTgwMDg0Njc5NTE@._V1_SX1777_CR0,0,1777,999_AL_.jpg",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMzc4MjE3N15BMl5BanBnXkFtZTgwMDg0Njc5NTE@._V1._SX100_SY140_.jpg,/character/ch0539337/,Brea,,,,,,,,,,,,,
61997c2bdee7e981f7970f4f,/name/nm3729225/,Gwendoline Christie,,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzNDY4NzgzOV5BMl5BanBnXkFtZTcwNDM5ODg4OQ@@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzNDY4NzgzOV5BMl5BanBnXkFtZTcwNDM5ODg4OQ@@._V1._SX100_SY140_.jpg,/character/ch0254503/,Brienne of Tarth,,,"[""Soldier Tom"",""Stannis Baratheon"",""Bolton Officer""]",,true,,,,,,"[""Podrick Payne""]","[""Renly Baratheon"",""Catelyn Stark"",""Sansa Stark"",""Bran Stark""]",
61997c2bdee7e981f7970f50,/name/nm0283492/,Jerome Flynn,,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0MzI5MjY1OV5BMl5BanBnXkFtZTcwODM1ODg4OQ@@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0MzI5MjY1OV5BMl5BanBnXkFtZTcwODM1ODg4OQ@@._V1._SX100_SY140_.jpg,/character/ch0241345/,Bronn,,,"[""Vardis Egen"",""Matthos Seaworth"",""Lead Dornish Guard""]",,,"[""Lollys Stokeworth""]",,,,,,,
61997c2bdee7e981f7970f51,/name/nm0574534/,Ian McShane,,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTAwNjU5MTY3NzleQTJeQWpwZ15BbWU4MDIwODkwMTkx._V1_SY1000_CR0,0,1502,1000_AL_.jpg",https://images-na.ssl-images-amazon.com/images/M/MV5BMTAwNjU5MTY3NzleQTJeQWpwZ15BbWU4MDIwODkwMTkx._V1._SX100_SY140_.jpg,/character/ch0541878/,Brother Ray,,,,"[""Lem Lemoncloak""]",,,,,,,,,
61997c2bdee7e981f7970f52,/name/nm0751085/,Clive Russell,,https://images-na.ssl-images-amazon.com/images/M/MV5BOTg5ZDIwOWUtMjQ1OS00YjgxLThmMDgtOWUwZjQ4MzE3ZDhlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOTg5ZDIwOWUtMjQ1OS00YjgxLThmMDgtOWUwZjQ4MzE3ZDhlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,/character/ch0381563/,Brynden Tully,,Tully,,,,,Blackfish,,,,,,"[""Hoster Tully""]"
61997c2bdee7e981f7970f53,/name/nm1214477/,Michael Grennell,,,,/character/ch0540864/,Captain of the Archers,,,,,,,,,,,,,
61997c2bdee7e981f7970f54,/name/nm0265610/,Michelle Fairley,,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2ODc4MTkxMV5BMl5BanBnXkFtZTcwNjM3MTg4OQ@@._V1_SY1000_CR0,0,915,1000_AL_.jpg",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2ODc4MTkxMV5BMl5BanBnXkFtZTcwNjM3MTg4OQ@@._V1._SX100_SY140_.jpg,/character/ch0145135/,Catelyn Stark,,"[""Stark"",""Tully""]","[""Joyeuse Erenford""]","[""Black Walder Rivers""]",,"[""Eddard Stark"",""Brandon Stark""]",,"[""Robb Stark"",""Sansa Stark"",""Arya Stark"",""Bran Stark"",""Rickon Stark""]","[""Hoster Tully""]",,,,"[""Lysa Arryn"",""Edmure Tully""]"
61997c2bdee7e981f7970f55,/name/nm0734498/,Lalor Roddy,,,,/character/ch0305046/,Catspaw Assassin,,,,"[""Summer""]",,,,,,,,,
61997c2bdee7e981f7970f56,/name/nm0372176/,Lena Headey,,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzNTAxNjExMl5BMl5BanBnXkFtZTcwMDEwNzI4OQ@@._V1._CR954,56,605,670_.jpg","https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzNTAxNjExMl5BMl5BanBnXkFtZTcwMDEwNzI4OQ@@._V1._CR954,56,605,670._SX100_SY140_.jpg",/character/ch0159526/,Cersei Lannister,,"[""Lannister"",""Baratheon""]","[""Lancel Lannister"",""High Sparrow"",""Loras Tyrell"",""Mace Tyrell"",""Margaery Tyrell"",""Kevan Lannister"",""Tyene Sand""]","[""Roof collapse""]",,"[""Robert Baratheon""]",,"[""Joffrey Baratheon"",""Myrcella Baratheon"",""Tommen Baratheon""]","[""Tywin Lannister""]",true,,,"[""Jaime Lannister"",""Tyrion Lannister""]"
61997c2bdee7e981f7970f57,/name/nm2456829/,Alice Hewkin,,https://images-na.ssl-images-amazon.com/images/M/MV5BOTdjYmYxNjctODU1OC00NzIwLTk0ODktNDc3NzA2MzRhYzIwXkEyXkFqcGdeQXVyNTcxMzMwNTA@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOTdjYmYxNjctODU1OC00NzIwLTk0ODktNDc3NzA2MzRhYzIwXkEyXkFqcGdeQXVyNTcxMzMwNTA@._V1._SX100_SY140_.jpg,/character/ch0414315/,Child of the Forest,,,,,,,,,,,,,
61997c2bdee7e981f7970f58,/name/nm0404809/,Frank Hvam,,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3NDA1Nzc5Nl5BMl5BanBnXkFtZTgwMjIwNTgyOTE@._V1_SY1000_CR0,0,1502,1000_AL_.jpg",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3NDA1Nzc5Nl5BMl5BanBnXkFtZTgwMjIwNTgyOTE@._V1._SX100_SY140_.jpg,/character/ch0478670/,Citadel Maester,,,,,,,,,,,,,
61997c2bdee7e981f7970f59,/name/nm4007028/,Darren Killeen,,,,/character/ch0350989/,Colen of Greenpools,,,,,,,,,,,,,
61997c2bdee7e981f7970f5a,/name/nm0700059/,Robert Pugh,,https://images-na.ssl-images-amazon.com/images/M/MV5BMzZiNjZiMGItNTQ2Yi00MGU3LWFjMTktNzlmNDFlYzA3MjY3XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMzZiNjZiMGItNTQ2Yi00MGU3LWFjMTktNzlmNDFlYzA3MjY3XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,/character/ch0300218/,Craster,,,,"[""Karl Tanner""]",,,,,,,,,
61997c2bdee7e981f7970f5b,,,"[{""actorName"":""Ed Skrein"",""actorLink"":""/name/nm4534098/"",""seasonsActive"":[3]},{""actorName"":""Michiel Huisman"",""actorLink"":""/name/nm0401264/"",""seasonsActive"":[4,5,6]}]","https://images-na.ssl-images-amazon.com/images/M/MV5BY2ExMDJmNzMtMDVmZi00MDNlLWI1NzYtOTkxOTdlOWU4YzE4XkEyXkFqcGdeQXVyNTcxMzMwNTA@._V1_SY1000_CR0,0,665,1000_AL_.jpg",https://images-na.ssl-images-amazon.com/images/M/MV5BY2ExMDJmNzMtMDVmZi00MDNlLWI1NzYtOTkxOTdlOWU4YzE4XkEyXkFqcGdeQXVyNTcxMzMwNTA@._V1._SX100_SY140_.jpg,/character/ch0335040/,Daario Naharis,,,"[""Mero"",""Prendahl na Ghezn"",""Oznak zo Pahl"",""Mossador"",""Iggo"",""Akho""]",,,,,,,,,"[""Daenerys Targaryen""]",
61997c2bdee7e981f7970f5c,/name/nm3592338/,Emilia Clarke,,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4MzIxMTQwMF5BMl5BanBnXkFtZTcwMzY2NDg1Nw@@._V1_SY1000_CR0,0,810,1000_AL_.jpg",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4MzIxMTQwMF5BMl5BanBnXkFtZTcwMzY2NDg1Nw@@._V1._SX100_SY140_.jpg,/character/ch0158597/,Daenerys Targaryen,"[""Drogon"",""Rhaegal"",""Viserion""]",Targaryen,"[""Khal Drogo"",""Mirri Maz Duur"",""Doreah"",""Xaro Xhoan Daxos"",""Khal Rhalko"",""Khal Brozho"",""Khal Qorro"",""Khal Forzho"",""Khal Moro"",""Dothraki Bloodrider #1"",""Dothraki Bloodrider #2"",""Randyll Tarly"",""Dickon Tarly"",""Eleanor"",""Eleanor's Daughter"",""Lord Varys""]","[""Jon Snow""]",,"[""Khal Drogo""]",,"[""Rhaego""]","[""Aerys II Targaryen"",""Rhaella Targaryen""]",true,"[""Barristan Selmy"",""Daario Naharis"",""Grey Worm"",""Jorah Mormont"",""Missandei"",""Tyrion Lannister""]",,"[""Rhaegar Targaryen"",""Viserys Targaryen""]"
61997c2bdee7e981f7970f5d,/name/nm0408591/,Ralph Ineson,,https://images-na.ssl-images-amazon.com/images/M/MV5BYWRlYzI5ZTQtODU0My00MWUyLWExNTMtNGQ4OTIwYzE2YzFiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BYWRlYzI5ZTQtODU0My00MWUyLWExNTMtNGQ4OTIwYzE2YzFiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,/character/ch0304762/,Dagmer Cleftjaw,,,,,,,,,,,,,
61997c2bdee7e981f7970f5e,/name/nm3996678/,Maisie Dee,,https://images-na.ssl-images-amazon.com/images/M/MV5BMDk2ODRhNzItOGZhNi00YTUyLThkMzctMDQ2Zjg5MzY1NTI2XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMDk2ODRhNzItOGZhNi00YTUyLThkMzctMDQ2Zjg5MzY1NTI2XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,/character/ch0305015/,Daisy,,,,,,,,,,,,,
61997c2bdee7e981f7970f5f,/name/nm0192377/,Liam Cunningham,,https://images-na.ssl-images-amazon.com/images/M/MV5BNTMwODc0NzI4Ml5BMl5BanBnXkFtZTcwNzY3NDk4OQ@@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNTMwODc0NzI4Ml5BMl5BanBnXkFtZTcwNzY3NDk4OQ@@._V1._SX100_SY140_.jpg,/character/ch0255396/,Davos Seaworth,,,,,,,,"[""Matthos Seaworth""]",,,,"[""Stannis Baratheon"",""Jon Snow""]",
61997c2bdee7e981f7970f60,,,"[{""actorName"":""Freddie Stroma"",""actorLink"":""/name/nm2238815/"",""seasonsActive"":[6]},{""actorName"":""Tom Hopper"",""actorLink"":""/name/nm2584392/"",""seasonsActive"":[7]}]",https://images-na.ssl-images-amazon.com/images/M/MV5BNzk1YjNlZGQtNTU0MC00OGZmLThhYTQtZDM1ZjI2OGNlZGQxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNzk1YjNlZGQtNTU0MC00OGZmLThhYTQtZDM1ZjI2OGNlZGQxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,/character/ch0541363/,Dickon Tarly,,,,"[""Daenerys Targaryen""]",,,,,"[""Randyll Tarly"",""Melessa Tarly""]",,,,"[""Samwell Tarly"",""Talla Tarly""]"
61997c2bdee7e981f7970f61,/name/nm1613839/,Ian Whyte,,https://images-na.ssl-images-amazon.com/images/M/MV5BNTRjNGYxNWItYmRhNS00MDY3LWFmZTItMzYzNTEwMjg3YTA1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNTRjNGYxNWItYmRhNS00MDY3LWFmZTItMzYzNTEwMjg3YTA1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1._SX100_SY140_.jpg,/character/ch0510932/,Dongo the Giant,,,,"[""Night's Watchman""]",,,,,,,,,
61997c2bdee7e981f7970f62,/name/nm1368037/,Alisdair Simpson,,,,/character/ch0544229/,Donnel Waynwood,,,,,,,,,,,,,
